Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-23 12:52:00+05:30,263.65,263.7,263.55,263.7,64209,0,0
2020-12-23 12:53:00+05:30,263.65,263.65,263.3,263.4,189521,0,0
2020-12-23 12:54:00+05:30,263.4,263.65,263.3,263.45,84799,0,0
2020-12-23 12:55:00+05:30,263.5,263.6,263.0,263.15,89363,0,0
2020-12-23 12:56:00+05:30,263.15,263.3,263.1,263.1,32406,0,0
2020-12-23 12:57:00+05:30,263.15,263.2,262.95,262.95,83109,0,0
2020-12-23 12:58:00+05:30,263.05,263.15,262.9,263.1,69939,0,0
2020-12-23 12:59:00+05:30,263.05,263.2,262.9,263.0,39088,0,0
2020-12-23 13:00:00+05:30,263.0,263.15,262.9,263.05,34779,0,0
2020-12-23 13:01:00+05:30,263.05,263.25,263.05,263.25,30103,0,0
2020-12-23 13:02:00+05:30,263.2,263.35,263.2,263.25,71195,0,0
2020-12-23 13:03:00+05:30,263.25,263.4,263.15,263.4,39338,0,0
2020-12-23 13:04:00+05:30,263.4,263.5,263.25,263.4,40046,0,0
2020-12-23 13:05:00+05:30,263.5,263.9,263.45,263.75,135614,0,0
2020-12-23 13:06:00+05:30,263.75,263.75,263.5,263.5,42913,0,0
2020-12-23 13:07:00+05:30,263.55,263.6,263.5,263.55,36254,0,0
2020-12-23 13:08:00+05:30,263.55,263.55,263.1,263.15,40702,0,0
2020-12-23 13:09:00+05:30,263.2,263.25,262.15,262.5,266973,0,0
2020-12-23 13:10:00+05:30,262.5,262.5,261.9,262.0,254797,0,0
2020-12-23 13:11:00+05:30,262.0,262.5,262.0,262.5,97350,0,0
2020-12-23 13:12:00+05:30,262.4,262.6,262.3,262.4,112643,0,0
2020-12-23 13:13:00+05:30,262.4,262.5,262.2,262.4,59792,0,0
2020-12-23 13:14:00+05:30,262.5,262.65,262.4,262.5,83044,0,0
2020-12-23 13:15:00+05:30,262.45,262.5,261.9,261.9,112560,0,0
2020-12-23 13:16:00+05:30,261.9,262.25,261.9,262.1,50814,0,0
2020-12-23 13:17:00+05:30,262.1,262.5,262.1,262.3,42269,0,0
2020-12-23 13:18:00+05:30,262.35,262.6,262.3,262.5,64417,0,0
2020-12-23 13:19:00+05:30,262.5,262.5,262.25,262.4,69567,0,0
2020-12-23 13:20:00+05:30,262.55,262.6,262.35,262.35,62864,0,0
2020-12-23 13:21:00+05:30,262.45,262.55,262.2,262.25,33307,0,0
2020-12-23 13:22:00+05:30,262.2,262.75,262.2,262.5,47252,0,0
2020-12-23 13:23:00+05:30,262.5,262.6,262.4,262.45,47043,0,0
2020-12-23 13:24:00+05:30,262.45,262.6,262.4,262.4,35809,0,0
2020-12-23 13:25:00+05:30,262.55,262.55,262.1,262.15,47480,0,0
2020-12-23 13:26:00+05:30,262.2,262.25,262.1,262.15,37885,0,0
2020-12-23 13:27:00+05:30,262.25,262.55,262.2,262.5,54572,0,0
2020-12-23 13:28:00+05:30,262.5,262.5,262.25,262.35,29606,0,0
2020-12-23 13:29:00+05:30,262.3,262.45,262.3,262.35,22567,0,0
2020-12-23 13:30:00+05:30,262.45,262.45,262.15,262.35,31905,0,0
2020-12-23 13:31:00+05:30,262.35,262.75,262.3,262.7,59118,0,0
2020-12-23 13:32:00+05:30,262.65,263.0,262.6,262.95,103035,0,0
2020-12-23 13:33:00+05:30,262.95,263.0,262.9,262.95,28256,0,0
2020-12-23 13:34:00+05:30,262.8,262.95,262.75,262.95,30178,0,0
2020-12-23 13:35:00+05:30,262.95,263.3,262.85,263.3,83372,0,0
2020-12-23 13:36:00+05:30,263.3,263.35,263.15,263.25,36514,0,0
2020-12-23 13:37:00+05:30,263.2,263.3,263.0,263.0,38324,0,0
2020-12-23 13:38:00+05:30,263.05,263.2,263.0,263.1,23355,0,0
2020-12-23 13:39:00+05:30,263.1,263.25,263.0,263.25,37880,0,0
2020-12-23 13:40:00+05:30,263.25,263.35,263.15,263.2,32658,0,0
2020-12-23 13:41:00+05:30,263.25,263.3,262.85,262.9,54750,0,0
2020-12-23 13:42:00+05:30,262.9,263.25,262.9,263.2,23711,0,0
2020-12-23 13:43:00+05:30,263.15,263.2,263.0,263.0,15156,0,0
2020-12-23 13:44:00+05:30,263.05,263.2,263.0,263.2,18043,0,0
2020-12-23 13:45:00+05:30,263.25,263.3,263.1,263.1,25993,0,0
2020-12-23 13:46:00+05:30,263.15,263.55,263.1,263.4,86154,0,0
2020-12-23 13:47:00+05:30,263.45,263.6,263.4,263.5,90296,0,0
2020-12-23 13:48:00+05:30,263.5,263.6,263.4,263.55,30717,0,0
2020-12-23 13:49:00+05:30,263.55,263.55,263.3,263.4,37656,0,0
2020-12-23 13:50:00+05:30,263.4,263.45,263.2,263.25,35709,0,0
2020-12-23 13:51:00+05:30,263.2,263.2,262.7,262.9,61636,0,0
2020-12-23 13:52:00+05:30,262.9,263.05,262.9,263.0,28545,0,0
2020-12-23 13:53:00+05:30,262.9,263.15,262.9,262.95,26487,0,0
2020-12-23 13:54:00+05:30,262.95,263.0,262.7,262.7,31997,0,0
2020-12-23 13:55:00+05:30,262.7,262.95,262.65,262.9,22692,0,0
2020-12-23 13:56:00+05:30,262.95,263.0,262.85,262.95,28992,0,0
2020-12-23 13:57:00+05:30,262.95,263.15,262.9,263.0,35624,0,0
2020-12-23 13:58:00+05:30,263.05,263.05,262.9,263.0,28003,0,0
2020-12-23 13:59:00+05:30,263.0,263.1,262.85,262.95,45853,0,0
2020-12-23 14:00:00+05:30,263.0,263.05,262.9,263.05,22851,0,0
2020-12-23 14:01:00+05:30,263.0,263.1,262.95,263.05,18095,0,0
2020-12-23 14:02:00+05:30,263.05,263.35,263.05,263.1,40277,0,0
2020-12-23 14:03:00+05:30,263.2,263.25,263.05,263.1,19796,0,0
2020-12-23 14:04:00+05:30,263.2,263.25,263.15,263.2,19145,0,0
2020-12-23 14:05:00+05:30,263.2,263.25,262.9,263.05,72001,0,0
