Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,,
2020-08-19 12:32:00+05:30,198.45,198.6,198.35,198.6,82224,0,0,,
2020-08-19 12:33:00+05:30,198.55,198.55,198.4,198.45,31612,0,0,,
2020-08-19 12:34:00+05:30,198.45,198.45,198.35,198.35,44574,0,0,,
2020-08-19 12:35:00+05:30,198.45,198.5,198.4,198.45,30197,0,0,,
2020-08-19 12:36:00+05:30,198.5,198.5,198.3,198.4,61566,0,0,,
2020-08-19 12:37:00+05:30,198.5,198.55,198.4,198.5,45875,0,0,,
2020-08-19 12:38:00+05:30,198.5,198.75,198.45,198.7,82841,0,0,,
2020-08-19 12:39:00+05:30,198.75,198.95,198.75,198.9,221126,0,0,,
2020-08-19 12:40:00+05:30,198.85,199.3,198.85,199.3,319473,0,0,,
2020-08-19 12:41:00+05:30,199.3,199.35,199.05,199.05,160301,0,0,,
2020-08-19 12:42:00+05:30,199.1,199.1,199,199,99388,0,0,,
2020-08-19 12:43:00+05:30,198.95,199.2,198.95,199.1,98007,0,0,,
2020-08-19 12:44:00+05:30,199.05,199.25,199.05,199.15,78018,0,0,,
2020-08-19 12:45:00+05:30,199.2,199.25,199.1,199.1,44579,0,0,,
2020-08-19 12:46:00+05:30,199.1,199.15,199,199.1,55108,0,0,,
2020-08-19 12:47:00+05:30,199.05,199.1,199.05,199.1,6426,0,0,,
2020-08-19 12:49:00+05:30,198.9,199,198.85,198.85,106826,0,0,,
2020-08-19 12:50:00+05:30,198.85,198.9,198.8,198.8,24944,0,0,,
2020-08-19 12:51:00+05:30,198.85,199,198.8,198.95,22958,0,0,,
2020-08-19 12:52:00+05:30,198.85,198.95,198.7,198.7,121549,0,0,,
2020-08-19 12:53:00+05:30,198.7,198.9,198.7,198.85,21607,0,0,,
2020-08-19 12:54:00+05:30,198.9,198.9,198.8,198.9,24018,0,0,,
2020-08-19 12:55:00+05:30,198.85,199,198.8,198.95,49171,0,0,,
2020-08-19 12:56:00+05:30,198.95,199,198.9,198.9,19957,0,0,,
2020-08-19 12:57:00+05:30,199,199,198.9,198.95,39091,0,0,,
2020-08-19 12:58:00+05:30,198.95,199,198.9,199,19647,0,0,,
2020-08-19 12:59:00+05:30,199,199,198.9,198.95,22951,0,0,,
2020-08-19 13:00:00+05:30,198.95,199.15,198.9,199.15,131897,0,0,,
2020-08-19 13:01:00+05:30,199.1,199.15,199,199.05,36707,0,0,,
2020-08-19 13:02:00+05:30,199.05,199.15,199,199.15,66440,0,0,,
2020-08-19 13:03:00+05:30,199.15,199.2,199,199,47561,0,0,,
2020-08-19 13:04:00+05:30,199,199.1,199,199,27212,0,0,,
2020-08-19 13:05:00+05:30,199.1,199.1,198.9,198.95,38264,0,0,,
2020-08-19 13:06:00+05:30,199,199,198.85,198.85,49103,0,0,,
2020-08-19 13:07:00+05:30,198.95,198.95,198.8,198.9,34115,0,0,,
2020-08-19 13:08:00+05:30,198.9,199.05,198.85,198.95,41424,0,0,,
2020-08-19 13:09:00+05:30,199,199.05,198.95,199.05,21999,0,0,,
2020-08-19 13:10:00+05:30,199,199.05,198.8,198.9,56927,0,0,,
2020-08-19 13:11:00+05:30,198.8,198.9,198.75,198.85,43547,0,0,,
2020-08-19 13:12:00+05:30,198.9,198.95,198.85,198.9,16391,0,0,,
2020-08-19 13:13:00+05:30,198.9,198.95,198.85,198.9,18626,0,0,,
2020-08-19 13:14:00+05:30,198.9,198.9,198.75,198.85,53692,0,0,,
2020-08-19 13:15:00+05:30,198.8,199.05,198.75,199,69022,0,0,,
2020-08-19 13:16:00+05:30,199,199,198.9,198.95,24311,0,0,,
2020-08-19 13:17:00+05:30,198.95,199,198.9,198.9,53052,0,0,,
2020-08-19 13:18:00+05:30,198.95,198.95,198.85,198.9,25974,0,0,,
2020-08-19 13:19:00+05:30,198.8,198.9,198.8,198.85,21046,0,0,,
2020-08-19 13:20:00+05:30,198.85,198.95,198.8,198.9,28086,0,0,,
2020-08-19 13:21:00+05:30,198.9,198.95,198.85,198.9,12771,0,0,,
2020-08-19 13:22:00+05:30,198.85,198.9,198.75,198.9,75697,0,0,,
2020-08-19 13:23:00+05:30,199,199.2,198.85,199.1,192892,0,0,,
2020-08-19 13:24:00+05:30,199.05,199.1,199,199.1,30172,0,0,,
2020-08-19 13:25:00+05:30,199.1,199.1,198.95,199.05,28211,0,0,,
2020-08-19 13:26:00+05:30,199.1,199.15,199.05,199.1,57078,0,0,,
2020-08-19 13:27:00+05:30,199.15,199.15,199.05,199.15,21543,0,0,,
2020-08-19 13:28:00+05:30,199.15,199.15,198.95,199,49705,0,0,,
2020-08-19 13:29:00+05:30,199.05,199.1,198.9,199,43100,0,0,,
2020-08-19 13:30:00+05:30,199.05,199.15,199,199.05,49380,0,0,,
2020-08-19 13:31:00+05:30,199.1,199.15,198.85,199,69371,0,0,,
2020-08-19 13:32:00+05:30,198.95,199.05,198.95,199,35782,0,0,,
2020-08-19 13:33:00+05:30,199,199.15,199,199.05,52174,0,0,,
2020-08-19 13:34:00+05:30,199.1,199.1,198.9,198.9,33516,0,0,,
2020-08-19 13:35:00+05:30,198.9,199,198.85,198.95,31918,0,0,,
2020-08-19 13:36:00+05:30,198.95,199,198.9,198.9,29065,0,0,,
2020-08-19 13:37:00+05:30,198.95,199,198.9,198.9,23968,0,0,,
2020-08-19 13:38:00+05:30,198.95,199,198.85,198.9,24961,0,0,,
2020-08-19 13:39:00+05:30,198.9,198.9,198.8,198.9,28844,0,0,,
2020-08-19 13:40:00+05:30,198.8,198.8,198.2,198.4,464703,0,0,,
2020-08-19 13:41:00+05:30,198.45,198.5,198.3,198.5,151175,0,0,,
2020-08-19 13:42:00+05:30,198.55,198.6,198.45,198.55,74216,0,0,,
2020-08-19 13:43:00+05:30,198.5,198.7,198.5,198.7,90291,0,0,,
2020-08-19 13:44:00+05:30,198.7,198.8,198.6,198.65,84393,0,0,,
2020-08-19 13:45:00+05:30,198.6,199,198.6,198.95,64648,0,0,,
2020-08-19 13:46:00+05:30,198.9,198.95,198.8,198.85,30151,0,0,,
2020-08-19 13:47:00+05:30,198.8,198.9,198.8,198.8,39364,0,0,,
2020-08-19 13:48:00+05:30,198.85,198.9,198.8,198.8,27492,0,0,,
2020-08-19 13:49:00+05:30,198.9,199,198.8,199,103482,0,0,,
2020-08-19 13:50:00+05:30,199,199,198.8,198.9,74825,0,0,,
2020-08-19 13:51:00+05:30,198.9,198.9,198.8,198.8,17096,0,0,,
2020-08-19 13:52:00+05:30,198.8,198.9,198.8,198.9,45691,0,0,,
2020-08-19 13:53:00+05:30,198.9,198.9,198.8,198.85,14969,0,0,,
2020-08-19 13:54:00+05:30,198.9,198.9,198.75,198.8,26522,0,0,,
2020-08-19 13:55:00+05:30,198.85,198.9,198.75,198.8,25102,0,0,,
2020-08-19 13:56:00+05:30,198.9,198.95,198.85,198.85,80066,0,0,,
2020-08-19 13:57:00+05:30,198.8,199.25,198.8,199.1,343893,0,0,,
2020-08-19 13:58:00+05:30,199.2,199.3,199.1,199.2,84816,0,0,,
2020-08-19 13:59:00+05:30,199.2,199.25,199.1,199.2,105807,0,0,,
2020-08-19 14:00:00+05:30,199.1,199.8,199.1,199.7,620853,0,0,,
2020-08-19 14:01:00+05:30,199.65,199.8,199.55,199.7,217961,0,0,,
2020-08-19 14:02:00+05:30,199.7,199.7,199.5,199.65,148617,0,0,,
2020-08-19 14:03:00+05:30,199.65,199.65,199.45,199.45,92898,0,0,,
2020-08-19 14:04:00+05:30,199.5,199.5,199.4,199.45,50820,0,0,,
2020-08-19 14:05:00+05:30,199.5,199.6,199.4,199.6,128434,0,0,,
2020-08-19 14:06:00+05:30,199.6,199.6,199.4,199.4,69014,0,0,,
2020-08-19 14:07:00+05:30,199.4,199.4,198.75,199.25,393130,0,0,,
2020-08-19 14:08:00+05:30,199.2,199.25,199.05,199.2,43680,0,0,,
2020-08-19 14:09:00+05:30,199.25,199.25,199.15,199.2,40803,0,0,,
2020-08-19 14:10:00+05:30,199.2,199.25,199.1,199.15,45523,0,0,,
2020-08-19 14:11:00+05:30,199.2,199.3,199.15,199.2,40759,0,0,,
2020-08-19 14:12:00+05:30,199.2,199.25,199.1,199.15,71128,0,0,,
2020-08-19 14:13:00+05:30,199.15,199.2,199.1,199.15,33645,0,0,,
2020-08-19 14:14:00+05:30,199.15,199.15,199,199.05,67233,0,0,,
2020-08-19 14:15:00+05:30,199.1,199.2,199,199.15,34322,0,0,,
2020-08-19 14:16:00+05:30,199.2,199.2,199,199,89957,0,0,,
2020-08-19 14:17:00+05:30,198.9,199,198.85,198.9,66251,0,0,,
2020-08-19 14:18:00+05:30,198.95,199,198.85,199,40906,0,0,,
2020-08-19 14:19:00+05:30,199,199.1,198.95,198.95,63346,0,0,,
2020-08-19 14:20:00+05:30,198.95,199.05,198.9,198.95,39467,0,0,,
2020-08-19 14:21:00+05:30,199,199,198.9,199,29634,0,0,,
2020-08-19 14:22:00+05:30,198.95,199,198.85,198.95,58327,0,0,,
2020-08-19 14:23:00+05:30,198.95,198.95,198.85,198.85,15396,0,0,,
2020-08-19 14:24:00+05:30,198.85,199,198.85,198.9,63782,0,0,,
2020-08-19 14:25:00+05:30,198.9,199.1,198.9,199.1,40700,0,0,,
2020-08-19 14:26:00+05:30,199,199.1,199,199.05,47495,0,0,,
2020-08-19 14:27:00+05:30,199,199.1,198.85,198.85,112527,0,0,,
2020-08-19 14:28:00+05:30,198.85,198.9,198.55,198.6,272290,0,0,,
2020-08-19 14:29:00+05:30,198.65,198.7,198.6,198.65,52894,0,0,,
2020-08-19 14:30:00+05:30,198.7,198.8,198.65,198.8,49732,0,0,,
2020-08-19 14:31:00+05:30,198.8,198.8,198.6,198.65,108706,0,0,,
2020-08-19 14:32:00+05:30,198.65,198.7,198.6,198.65,62126,0,0,,
2020-08-19 14:33:00+05:30,198.6,198.7,198.6,198.65,43227,0,0,,
2020-08-19 14:34:00+05:30,198.65,198.75,198.6,198.7,102437,0,0,,
2020-08-19 14:35:00+05:30,198.75,198.75,198.55,198.6,104294,0,0,,
2020-08-19 14:36:00+05:30,198.6,198.75,198,198.15,702515,0,0,,
2020-08-19 14:37:00+05:30,198.15,198.45,198.05,198.1,183692,0,0,,
2020-08-19 14:38:00+05:30,198.05,198.15,196.9,197.35,1440183,0,0,,
2020-08-19 14:39:00+05:30,197.35,197.8,197.35,197.75,250774,0,0,,
2020-08-19 14:40:00+05:30,197.75,197.75,197.5,197.55,213561,0,0,,
2020-08-19 14:41:00+05:30,197.55,197.8,197.4,197.8,259313,0,0,,
2020-08-19 14:42:00+05:30,197.85,197.9,197.7,197.85,106232,0,0,,
2020-08-19 14:43:00+05:30,197.85,197.9,197.75,197.8,120963,0,0,,
2020-08-19 14:44:00+05:30,197.85,197.85,197.55,197.65,150191,0,0,,
2020-08-19 14:45:00+05:30,197.55,197.8,197.55,197.75,97367,0,0,,
2020-08-19 14:46:00+05:30,197.7,197.85,197.7,197.75,44899,0,0,,
2020-08-19 14:47:00+05:30,197.85,198.15,197.8,198.15,136658,0,0,,
2020-08-19 14:48:00+05:30,198.15,198.25,198.1,198.2,140877,0,0,,
2020-08-19 14:49:00+05:30,198.2,198.2,198.1,198.2,117428,0,0,,
2020-08-19 14:50:00+05:30,198.15,198.25,198.05,198.05,163614,0,0,,
2020-08-19 14:51:00+05:30,198.05,198.1,198,198.05,106851,0,0,,
2020-08-19 14:52:00+05:30,198,198.1,198,198.1,48426,0,0,,
2020-08-19 14:53:00+05:30,198.1,198.1,197.9,197.9,65512,0,0,,
2020-08-19 14:54:00+05:30,198,198,197.9,197.95,43002,0,0,,
2020-08-19 14:55:00+05:30,197.95,198,197.8,197.85,78439,0,0,,
2020-08-19 14:56:00+05:30,197.85,197.95,197.85,197.95,43630,0,0,,
2020-08-19 14:57:00+05:30,198,198,197.9,197.95,54720,0,0,,
2020-08-19 14:58:00+05:30,197.9,197.95,197.8,197.8,37841,0,0,,
2020-08-19 14:59:00+05:30,197.8,197.9,197.8,197.85,45576,0,0,,
2020-08-19 15:00:00+05:30,197.85,197.85,197.7,197.7,88981,0,0,,
2020-08-19 15:01:00+05:30,197.7,197.75,197.55,197.55,152340,0,0,,
2020-08-19 15:02:00+05:30,197.55,197.6,197.45,197.45,148608,0,0,,
2020-08-19 15:03:00+05:30,197.5,197.5,197.3,197.45,172027,0,0,,
2020-08-19 15:04:00+05:30,197.45,197.5,197.35,197.4,164356,0,0,,
2020-08-19 15:05:00+05:30,197.45,197.5,197.4,197.4,94915,0,0,,
2020-08-19 15:06:00+05:30,197.4,197.55,197.2,197.25,243137,0,0,,
2020-08-19 15:07:00+05:30,197.2,197.2,197.05,197.1,216730,0,0,,
2020-08-19 15:08:00+05:30,197.15,197.2,197.05,197.2,145694,0,0,,
2020-08-19 15:09:00+05:30,197.2,197.2,196.8,196.85,410064,0,0,,
2020-08-19 15:10:00+05:30,196.9,196.9,196.4,196.5,629646,0,0,,
2020-08-19 15:11:00+05:30,196.55,196.75,196.3,196.7,561052,0,0,,
